sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Inventory management software,1.0,0.003367003367003367,1,3,3,0.0026595744680851063,0.0006079540859706931
Method (computer programming),0.2039141414141414,0.004555586028313047,99,3,5,0.013297872340425532,0.0029848468347044945
Static program analysis,0.42857142857142855,0.002180262432601745,14,3,5,0.007978723404255319,0.0007320678331609322
Static random-access memory,0.6079545454545454,0.0030185537502837295,44,3,5,0.013297872340425532,0.0019277026123933486
General-purpose language,0.4560810810810811,0.009291358166411615,74,3,5,0.007978723404255319,0.0016299493904978484
Planet,0.5880681818181818,0.007475167178900943,44,3,5,0.02925531914893617,0.01346361352026611
Type system,0.41930379746835444,0.0056700333443490125,158,3,5,0.02925531914893617,0.0024510577229521564
High-level programming language,0.4247448979591837,0.011578965950411036,196,3,5,0.031914893617021274,0.004733355413598773
Areal density (computer storage),0.5208333333333334,0.0014001499682170023,18,3,5,0.007978723404255319,0.0015505382367679696
NASA,0.6171875,0.0030230021301449867,16,3,5,0.010638297872340425,0.002327392332777906
Declarative programming,0.45195086705202314,0.014283235016798077,173,3,5,0.02127659574468085,0.004024445801276652
Natural satellite,0.53125,0.004624251560128183,32,3,5,0.015957446808510637,0.007479825394779681
OpenCL,0.4318181818181818,0.0020576106147204743,11,3,5,0.005319148936170213,0.0006521197949784639
Garbage collection (computer science),0.359375,0.002093917684671258,40,3,5,0.015957446808510637,0.0010170371671827903
ANSI C,0.4470338983050847,0.0031300929792421263,59,3,5,0.005319148936170213,0.0008836250992794563
China National Space Administration,1.0,0.0012626262626262625,1,3,3,0.0026595744680851063,0.0006789464251878117
Imperative programming,0.4610655737704918,0.04492279353461322,305,2,5,0.045212765957446804,0.0051689843678012735
Android (operating system),0.4866573033707865,0.01289800651146848,178,3,5,0.02925531914893617,0.004682984975334343
Flip-flop (electronics),0.75,0.0017082536337586843,12,3,5,0.007978723404255319,0.0013825372215613202
Clang,0.228125,0.036975619723606835,20,2,5,0.015957446808510637,0.00111339923793023
Data,0.6456310679611651,0.01156797530409502,103,3,5,0.023936170212765957,0.008170206806225957
Data collection,1.0,0.004629629629629629,2,3,4,0.005319148936170213,0.0008188258806611299
AAA (video game industry),0.5833333333333334,0.002794077134986226,3,3,5,0.0026595744680851063,0.0006136743524758424
Database,0.5280612244897959,0.010687322419539768,49,3,5,0.026595744680851064,0.003652374439637959
Second-generation programming language,0.5961538461538461,0.003311509143503965,13,3,5,0.0026595744680851063,0.0007318350801982087
Computer programming,0.5846303501945526,0.03121416278163789,257,3,5,0.047872340425531915,0.018754960078263654
CPU cache,0.6634615384615384,0.0018193318676339172,26,3,5,0.010638297872340425,0.0015904378271513566
Go (programming language),0.3869047619047619,0.0014077410525341128,21,3,5,0.007978723404255319,0.0007221085035300947
C++17,0.36764705882352944,0.03619369489240528,17,2,5,0.007978723404255319,0.0008119140788229939
Unix,0.28187919463087246,0.008535800178240054,149,3,5,0.02925531914893617,0.0035205597673355297
C++14,0.3181818181818182,0.03515176261233454,22,2,5,0.010638297872340425,0.0008354768635055173
C++11,0.32142857142857145,0.04574011438839932,42,2,5,0.02127659574468085,0.0015349338780676193
Component-based software engineering,0.4583333333333333,0.003216661002963254,21,3,5,0.005319148936170213,0.0009399163614965566
Swift (programming language),0.2930327868852459,0.0035190608127730456,61,3,5,0.013297872340425532,0.0009544977073098188
Virtual memory,0.75,0.0010104101931466486,4,3,5,0.0026595744680851063,0.0007898597312944009
Web crawler,0.375,0.0051724730296158865,6,3,5,0.005319148936170213,0.0009550924283280051
Planetary system,0.5147058823529411,0.002548670064903831,17,3,5,0.007978723404255319,0.0032467181637435777
Ampersand,0.625,0.005998722401884457,6,3,5,0.005319148936170213,0.002407809592615271
Endianness,0.625,0.006100478468899523,2,3,5,0.0026595744680851063,0.000651739042740046
Real-time computing,0.5878378378378378,0.005873421056075878,37,3,5,0.007978723404255319,0.0015574698932575627
Embedded software,0.5227272727272727,0.030897567532595982,11,2,5,0.005319148936170213,0.0009670545587382154
Telecommunication,0.67,0.01570767771884672,25,3,5,0.02127659574468085,0.005305208218033586
