sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Voxer,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Run time (program lifecycle phase),0.8260869565217391,0.009017653081261099,69,3,5,0.018229166666666664,0.0028587115818234808
Separation of concerns,0.875,0.0023739788899971967,4,3,5,0.005208333333333333,0.0008449874578799815
V8 (JavaScript engine),0.234375,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Chicago,0.6111111111111112,0.017001753576589104,18,3,5,0.018229166666666664,0.004707544754167071
Philadelphia,0.75,0.0034631824174039083,15,3,5,0.0078125,0.0015694108143502563
Don't be evil,0.3815789473684211,0.0009484414035253818,19,3,5,0.005208333333333333,0.0009239322276698999
This Week (ABC TV series),1.0,0.003205128205128205,1,3,3,0.0026041666666666665,0.0007063913886620467
Just-in-time compilation,0.5857142857142857,0.003190624044857214,70,3,5,0.010416666666666666,0.0013575464986704997
Telecommunication,0.7282608695652174,0.013402652821512472,23,3,5,0.018229166666666664,0.016730788344328888
Web framework,0.875,0.050077600784902636,10,2,5,0.018229166666666664,0.0010032607014030658
HTML attribute,0.5986842105263158,0.0407162694920132,19,2,5,0.0078125,0.0020906478105712683
Walmart,0.47058823529411764,0.0019575595597942815,17,3,5,0.005208333333333333,0.0007544782355384545
"Abilene, Kansas",0.8333333333333334,0.0016519999250262409,3,3,5,0.0026041666666666665,0.0006859345829175031
Template processor,0.8214285714285714,0.0035740212638857476,7,3,5,0.0026041666666666665,0.000633658105063228
Open collaboration,0.390625,0.006009060105224953,16,3,5,0.0026041666666666665,0.0016054270763033217
Compiler,0.6810810810810811,0.02765843455106806,185,3,5,0.046875,0.008746498650054729
Cloud computing,0.7321428571428571,0.006884243531165801,28,3,5,0.013020833333333332,0.001661572097627877
Journalism,1.0,0.003205128205128205,1,3,3,0.0026041666666666665,0.0007063913886620467
Session (computer science),0.8653846153846154,0.005170892046611793,13,3,5,0.005208333333333333,0.0016671715561109245
Google,0.5027777777777778,0.04956554253515194,90,2,5,0.1015625,0.012057668083162972
Social networking service,0.7471590909090909,0.007657179765099042,88,3,5,0.018229166666666664,0.00463161147270184
The Walt Disney Company,0.375,0.004891159188034189,9,3,5,0.0078125,0.001321582215923052
NASDAQ,0.71875,0.007808285284047602,24,3,5,0.015625,0.0021772433544593214
Daniel Hesse,0.4375,0.002186187959214275,4,3,5,0.005208333333333333,0.0008802873677893899
Name binding,0.9285714285714286,0.0024894918201554357,7,3,5,0.0026041666666666665,0.0008406536144264592
Google Fiber,0.3,0.0009277444549108129,20,3,5,0.005208333333333333,0.0009339003239679825
Web API,0.4107142857142857,0.0035740212638857476,7,3,5,0.0026041666666666665,0.000633658105063228
Web development,0.7692307692307693,0.0057899147289619535,26,3,5,0.013020833333333332,0.0011143410931293402
Source code,0.7239884393063584,0.032255908873038835,173,3,5,0.046875,0.008938137994524298
10 Universal City Plaza,0.8,0.0017241035949917527,5,3,5,0.0026041666666666665,0.0008211323898601275
Kansas,0.9375,0.005583721648509977,8,3,5,0.010416666666666666,0.0024917435963401646
PowerTOP,0.4,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Preprocessor,0.5,0.007740116287627257,23,3,5,0.0078125,0.001700749544265255
Multinational corporation,0.748,0.013915410214711313,125,3,5,0.046875,0.00700594580828216
Nightline,0.5,0.003205128205128205,1,3,3,0.0026041666666666665,0.0007063913886620467
Open-source software development,0.390625,0.006009060105224953,16,3,5,0.0026041666666666665,0.0016054270763033217
Self (programming language),0.5673076923076923,0.002054915765372778,39,3,5,0.005208333333333333,0.0007419426055235226
Apple Inc.,0.6598837209302325,0.0103485967107167,129,3,5,0.0234375,0.006486766737354693
In-band signaling,1.0,0.004807692307692308,1,3,3,0.0026041666666666665,0.0006366731314282852
Throughput,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Language-independent specification,0.75,0.0032868241719173396,8,3,5,0.0026041666666666665,0.0007136011286075427
